Algorithm,Max Accuracy (FMNIST),Rounds to Max Accuracy
PoCZk,0.9120000004768372,98
ZkAvg,0.9097999930381775,88
ContAvg,0.9106000065803528,64
FedAvg,0.9093999862670898,94
FedAdam,0.909600019454956,94
FedAvgM,0.550000011920929,100
FedProx,0.909500002861023,90
