Algorithm,Max Accuracy (MNIST),Rounds to Max Accuracy
PoCZk,0.989799976348877,64
ZkAvg,0.9912999868392944,88
ContAvg,0.9898999929428101,70
FedAvg,0.9891999959945679,80
FedAdam,0.9902999997138977,100
FedAvgM,0.70169997215271,100
FedProx,0.9901999831199646,100
