Algorithm,Max Accuracy (CIFAR10),Rounds to Max Accuracy
PoCZk,0.5020999908447266,42
ZkAvg,0.5138000249862671,56
ContAvg,0.2644999921321869,96
FedAvg,0.5127000212669373,68
FedAdam,0.49399998784065247,86
FedAvgM,0.5116999745368958,84
FedProx,0.5910000205039978,64
