dataset_name,batch_size,build_tree_time,compute_proof_time,zokrates_compile_time,tree_depth,total_nodes,occupancy
MNIST,8,23.624542236328125,10.49041748046875,3.3555140495300293,14,16383,1077944
MNIST,16,17.292107105255127,10.251998901367188,3.0552868843078613,13,8191,539964
MNIST,32,14.019876718521118,6.67572021484375,2.9318227767944336,12,4095,271536
MNIST,64,12.840686559677124,7.62939453125,2.787027597427368,11,2047,135644
MNIST,128,12.492093563079834,5.9604644775390625,2.5815482139587402,10,1023,67928
FMNIST,8,22.304414749145508,10.251998901367188,3.3432955741882324,14,16383,1077944
FMNIST,16,16.450958967208862,6.4373016357421875,3.1770517826080322,13,8191,539964
FMNIST,32,14.042333602905273,5.9604644775390625,3.060713768005371,12,4095,271536
FMNIST,64,13.442596435546875,5.7220458984375,2.8536317348480225,11,2047,135644
FMNIST,128,12.451500415802002,5.9604644775390625,2.6180241107940674,10,1023,67928
CIFAR10,8,25.419229745864868,7.62939453125,3.2466890811920166,14,16383,1002944
CIFAR10,16,21.537193536758423,6.9141387939453125,3.159181594848633,13,8191,502464
CIFAR10,32,18.611440658569336,7.62939453125,3.0078718662261963,12,4095,252816
CIFAR10,64,17.437825202941895,5.4836273193359375,2.77152419090271,11,2047,126284
CIFAR10,128,16.8824462890625,7.8678131103515625,2.658236503601074,10,1023,63248
