Algorithm,Max Accuracy (FMNIST),Rounds to Max Accuracy
PoCZk,0.9003999829292297,90
ZkAvg,0.8697999715805054,48
ContAvg,0.8999999761581421,46
FedAvg,0.8776999711990356,80
FedAdam,0.8884000182151794,98
FedAvgM,0.895799994468689,98
FedProx,0.8912000060081482,64
