Algorithm,Max Accuracy (CIFAR10),Rounds to Max Accuracy
PoCZk,0.4936000108718872,34
ZkAvg,0.5058000087738037,42
ContAvg,0.5033000111579895,28
FedAvg,0.5001999735832214,58
FedAdam,0.44999998807907104,80
FedAvgM,0.4925999939441681,64
FedProx,0.567799985408783,94
