Algorithm,Max Accuracy (FMNIST),Rounds to Max Accuracy
PoCZk,0.9114999771118164,80
ZkAvg,0.9099000096321106,92
ContAvg,0.4397999942302704,70
FedAvg,0.907800018787384,94
FedAdam,0.9100000262260437,70
FedAvgM,0.894599974155426,82
FedProx,0.9126999974250793,100
