Algorithm,Max Accuracy (MNIST),Rounds to Max Accuracy
PoCZk,0.9879000186920166,78
ZkAvg,0.9865999817848206,84
ContAvg,0.9866999983787537,42
FedAvg,0.9860000014305115,96
FedAdam,0.9894999861717224,88
FedAvgM,0.4359000027179718,100
FedProx,0.9884999990463257,72
