Algorithm,Max Accuracy (CIFAR10),Rounds to Max Accuracy
PoCZk,0.45570001006126404,80
ZkAvg,0.4650000035762787,80
ContAvg,0.46000000834465027,20
FedAvg,0.4781000018119812,98
FedAdam,0.44209998846054077,86
FedAvgM,0.48080000281333923,96
FedProx,0.5234000086784363,84
