Algorithm,Max Accuracy (MNIST),Rounds to Max Accuracy
PoCZk,0.9894999861717224,44
ZkAvg,0.989300012588501,50
ContAvg,0.6873000264167786,100
FedAvg,0.9894999861717224,88
FedAdam,0.989799976348877,88
FedAvgM,0.9879999756813049,80
FedProx,0.9904999732971191,68
