Algorithm,Max Accuracy (CIFAR10),Rounds to Max Accuracy
PoCZk,0.5231999754905701,54
ZkAvg,0.5149000287055969,58
ContAvg,0.5250999927520752,34
FedAvg,0.5149999856948853,44
FedAdam,0.492000013589859,96
FedAvgM,0.5152000188827515,96
FedProx,0.6000999808311462,58
