Algorithm,Max Accuracy (MNIST),Rounds to Max Accuracy
PoCZk,0.9902999997138977,54
ZkAvg,0.9908000230789185,98
ContAvg,0.48559999465942383,92
FedAvg,0.991599977016449,96
FedAdam,0.9918000102043152,82
FedAvgM,0.9896000027656555,100
FedProx,0.9916999936103821,78
