Algorithm,Max Accuracy (MNIST),Rounds to Max Accuracy
PoCZk,0.9904000163078308,48
ZkAvg,0.991100013256073,80
ContAvg,0.9905999898910522,70
FedAvg,0.9912999868392944,88
FedAdam,0.9914000034332275,86
FedAvgM,0.9904000163078308,94
FedProx,0.9919999837875366,54
