Algorithm,Max Accuracy (FMNIST),Rounds to Max Accuracy
PoCZk,0.9067999720573425,90
ZkAvg,0.9053000211715698,80
ContAvg,0.6288999915122986,98
FedAvg,0.9071000218391418,92
