Algorithm,Max Accuracy (CIFAR10),Rounds to Max Accuracy
PoCZk,0.46560001373291016,18
ZkAvg,0.47540000081062317,34
ContAvg,0.3190000057220459,92
FedAvg,0.43650001287460327,56
