actor_id,cost_wei,execution_time
0,7982998400000000,0.2223970890045166
6,7983123200000000,0.09124112129211426
9,7982124800000000,0.11463713645935059
3,7982000000000000,0.06084275245666504
4,7981812800000000,0.06951713562011719
7,7983123200000000,0.06465959548950195
8,7983060800000000,0.05493521690368652
5,7983060800000000,0.4453623294830322
2,7981688000000000,0.10222005844116211
1,7982936000000000,0.10618972778320312
8,7983185600000000,0.1280829906463623
0,7983060800000000,0.11247658729553223
2,7983060800000000,0.07736349105834961
9,7983060800000000,0.06908893585205078
3,7983060800000000,0.04704761505126953
5,7982000000000000,0.05696225166320801
7,7982000000000000,0.04789876937866211
4,7982936000000000,0.09012556076049805
1,7982998400000000,0.09609007835388184
6,7982062400000000,0.09560513496398926
6,7983060800000000,0.16042232513427734
7,7983123200000000,0.062143802642822266
9,7983123200000000,0.06925034523010254
1,7983123200000000,0.050612688064575195
3,7982062400000000,0.04422187805175781
4,7980876800000000,0.07098579406738281
2,7983123200000000,0.04955244064331055
5,7980814400000000,0.06533336639404297
0,7983060800000000,0.0841367244720459
8,7983123200000000,0.08313822746276855
6,7983060800000000,0.28795504570007324
5,7983123200000000,0.06765604019165039
9,7980939200000000,0.07261443138122559
0,7983060800000000,0.06134748458862305
2,7983060800000000,0.0825192928314209
7,7983060800000000,0.04687070846557617
8,7981937600000000,0.047377824783325195
1,7983060800000000,0.08564949035644531
3,7983123200000000,0.05872035026550293
4,7982998400000000,0.048459768295288086
8,7982998400000000,0.3732321262359619
5,7980814400000000,0.08686971664428711
6,7983060800000000,0.11620926856994629
7,7982936000000000,0.06603646278381348
9,7982062400000000,0.07431840896606445
2,7982998400000000,0.05433249473571777
4,7983123200000000,0.04434323310852051
1,7980627200000000,0.09689903259277344
3,7982000000000000,0.0689232349395752
0,7982124800000000,0.06506037712097168
5,7982873600000000,0.2819242477416992
7,7983060800000000,0.06036782264709473
8,7983123200000000,0.05695533752441406
1,7983123200000000,0.06607794761657715
2,7982000000000000,0.05298185348510742
3,7983060800000000,0.05065464973449707
6,7983060800000000,0.04019522666931152
0,7981875200000000,0.10184335708618164
9,7982124800000000,0.05858206748962402
4,7982998400000000,0.07112693786621094
1,7983185600000000,0.16492152214050293
7,7982998400000000,0.06899785995483398
6,7982000000000000,0.07242202758789062
9,7982998400000000,0.13921904563903809
2,7982873600000000,0.14603137969970703
4,7981875200000000,0.07440185546875
5,7983123200000000,0.09454894065856934
0,7983123200000000,0.13692235946655273
8,7982998400000000,0.08763527870178223
3,7982062400000000,0.11903500556945801
