Algorithm,Max Accuracy (FMNIST),Rounds to Max Accuracy
PoCZk,0.9002000093460083,82
ZkAvg,0.899399995803833,88
ContAvg,0.6862000226974487,100
FedAvg,0.8945000171661377,74
FedAdam,0.8910999894142151,76
FedAvgM,0.833899974822998,100
FedProx,0.8978000283241272,54
